dataset,method,seed,mean_acc,worst_acc,test_env_accs,test_env_losses,num_classes,epochs,weight_entropy_curve,weight_max_curve,weight_min_curve
colored_mnist,erm,0,0.9334,0.9334,[0.9334],[0.38646313812732697],2,30,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,erm,1,0.931,0.931,[0.931],[0.40353338766098024],2,30,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,erm,2,0.9284,0.9284,[0.9284],[0.4349923089504242],2,30,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,groupdro,0,0.936,0.936,[0.936],[0.38356753776073454],2,30,"[1.090757782642658, 1.0579579243293176, 1.027337019260113, 1.0040390285161824, 0.9879223222915943, 0.9803783595561981, 0.9767211927817419, 0.9772979158621568, 0.9776124541576092, 0.9822200330404135, 0.9866583851667551, 0.9916052428575662, 0.9964595322425549, 1.0013223061194787, 1.0050853857627282, 1.0083021384019117, 1.0111958476213307, 1.0132648348808289, 1.0148312082657447, 1.0159747004508972, 1.016999052121089, 1.01746109357247, 1.0180350312819848, 1.0183960061806898, 1.0186750338627741, 1.0189281289394085, 1.0191743603119483, 1.0193362877919123, 1.0194988892628596, 1.0196574009381807]","[0.3755989968776703, 0.44385446722690874, 0.47609755396842957, 0.4949561655521393, 0.5049465138178605, 0.5072050232153672, 0.5059137734083029, 0.5009016188291403, 0.49787564690296465, 0.4922048013943892, 0.48576342601042527, 0.48047930231461156, 0.47492062128507173, 0.4711019213383014, 0.4668485453495613, 0.4636453172335258, 0.4612613400587669, 0.4597446620464325, 0.45846779300616336, 0.4575548470020294, 0.4568702188821939, 0.4564324445449389, 0.455997747870592, 0.4556865325340858, 0.4554288135125087, 0.45523256063461304, 0.45503980150589574, 0.45489241870550007, 0.45475975366739124, 0.45462407630223495]","[0.29004699049087673, 0.21659785279860863, 0.17781226336956024, 0.15455902539766753, 0.14002903092365998, 0.13297339929984167, 0.12895962939812586, 0.1280082928446623, 0.12747591160810912, 0.1303251379957566, 0.1329770896297235, 0.13653554767370224, 0.1400956574540872, 0.14418601989746094, 0.1471950807250463, 0.14993594930722162, 0.15256342807641396, 0.15451728724516356, 0.15599338309122965, 0.15708722116855475, 0.15810185556228346, 0.15853771108847398, 0.15910253444543251, 0.15945194432368645, 0.15971952504836595, 0.1599700187261288, 0.1602138802409172, 0.1603705848638828, 0.16053113112082848, 0.16068662187227836]"
colored_mnist,groupdro,1,0.9312,0.9312,[0.9312],[0.3872341438770294],2,30,"[1.0907713037270765, 1.0575849138773405, 1.0271826890798716, 1.0027027015502636, 0.9839998873380514, 0.974291381927637, 0.9676349277679737, 0.9674363571863908, 0.972658810707239, 0.9796035541937902, 0.9874883019007169, 0.9949342493827527, 1.0039942723054152, 1.0118315999324505, 1.0182846050996046, 1.0237838625907898, 1.0286976374112642, 1.032858174580794, 1.0359208996479328, 1.0385870933532715, 1.040641922217149, 1.0423108706107507, 1.0438305277090807, 1.0448079338440528, 1.0456090156848614, 1.046151115344121, 1.0466718582006602, 1.0470076845242426, 1.0472785876347468, 1.0474785703879137]","[0.3782072147497764, 0.45828331204561085, 0.49910414906648487, 0.5260404210824233, 0.5462115406990051, 0.5543900842850025, 0.5620854840828822, 0.5627799698939691, 0.5582648332302387, 0.5526222242758825, 0.545892779643719, 0.5396610979850476, 0.5315557626577524, 0.5241096455317277, 0.5175208403513982, 0.5118767435734088, 0.5067004790672889, 0.5020241943689493, 0.4985975382419733, 0.4955430913429994, 0.4930749661647357, 0.4910153356882242, 0.4891229191651711, 0.4878312853666452, 0.48678915890363544, 0.4860630138562276, 0.4853611382154318, 0.4849004871570147, 0.48453155962320477, 0.484253459251844]","[0.29262764293413895, 0.2276050689128729, 0.19393291553625694, 0.17295646552856153, 0.16106299712107733, 0.15370811751255622, 0.15119474954330003, 0.15162100184422272, 0.15513379871845245, 0.16053632990672037, 0.16678984176654083, 0.17344248180206007, 0.18177255472311607, 0.18933687072533828, 0.19565009440367037, 0.2016431763768196, 0.20736868049089724, 0.2122329112428885, 0.2161975405537165, 0.21980115656669325, 0.22254238449610197, 0.2247907714201854, 0.22691182677562421, 0.2281602959220226, 0.22926104641877687, 0.22997225133272317, 0.23065994737239984, 0.23109018057584763, 0.23144880739542154, 0.23170109551686507]"
colored_mnist,groupdro,2,0.9294,0.9294,[0.9294],[0.4239674823284149],2,30,"[1.089777776828179, 1.0567242732414832, 1.0260369089933543, 1.0025896636339335, 0.98899995134427, 0.981113965694721, 0.9826443149493291, 0.9849842672164624, 0.9884237555357126, 0.9955105827404902, 1.0017453111135042, 1.0082767330683196, 1.0141943509762104, 1.0178429530217097, 1.022845630462353, 1.026547752893888, 1.0289647991840656, 1.0308132355029767, 1.0323332593991206, 1.0334970171634967, 1.034340542096358, 1.035091404731457, 1.0356641365931585, 1.0360918641090393, 1.0364131927490234, 1.0367249663059528, 1.0369716836855962, 1.037204316029182, 1.0373936616457426, 1.0375611186027527]","[0.3807622343301773, 0.4582242277952341, 0.5018772184848785, 0.5310243987120115, 0.5456259250640869, 0.5539448307110713, 0.5516975338642414, 0.5493116906056037, 0.5455656349658966, 0.5369614385641538, 0.5300458990610563, 0.5219483627722814, 0.5153836607933044, 0.5102667693908398, 0.504487156867981, 0.4994340745302347, 0.49672647508291096, 0.4945536164137033, 0.49278643612678236, 0.4913041259233768, 0.4900977508379863, 0.489172569834269, 0.48848519875453067, 0.48795467615127563, 0.487583733521975, 0.4872026512256035, 0.4868900500811063, 0.48659563293823827, 0.48636626968016994, 0.4861539682516685]","[0.28918373813995946, 0.22509994816321593, 0.19442195502611306, 0.17822089046239853, 0.16931715206458017, 0.16480014473199844, 0.16483350155445245, 0.16624527883071166, 0.1681354630451936, 0.17129675986675116, 0.1752858075958032, 0.17895752019607103, 0.18357316977702653, 0.18548277192390883, 0.18972498866227958, 0.19228633493185043, 0.19468426761718896, 0.19648056763869065, 0.19802067887324554, 0.1990938616486696, 0.19974883129963508, 0.2004985734820366, 0.2010966012111077, 0.2015294455564939, 0.20188592947446382, 0.20221168375932252, 0.2024592040823056, 0.20269404351711273, 0.20289683456604296, 0.20306682758606398]"
colored_mnist,rex,0,0.9348,0.9348,[0.9348],[0.37044362931251523],2,30,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,rex,1,0.9314,0.9314,[0.9314],[0.37897436199188234],2,30,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,rex,2,0.9274,0.9274,[0.9274],[0.42770100684165957],2,30,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,irm,0,0.9304,0.9304,[0.9304],[0.3907281558036804],2,30,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
